[18:40:58 WRN] Failed to determine the https port for redirect.
[18:44:20 INF] HTTP GET /api/v1/pharmacy/medicines responded 200 in 2.0596 ms
[18:44:20 INF] HTTP GET /api/v1/notifications/my responded 200 in 3.8418 ms
[18:44:33 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.4737 ms
[18:44:33 INF] HTTP GET /api/v1/dashboard/summary responded 401 in 0.2059 ms
[18:44:33 INF] HTTP GET /api/v1/notifications/my responded 401 in 0.2975 ms
[18:44:33 INF] HTTP GET /api/v1/dashboard/summary responded 401 in 0.3777 ms
[18:44:33 INF] HTTP GET /api/v1/notifications/my responded 401 in 0.1815 ms
[18:44:42 INF] HTTP POST /api/v1/auth/login responded 200 in 201.8670 ms
[18:44:42 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.6624 ms
[18:44:42 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.6840 ms
[18:44:42 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.6239 ms
[18:44:42 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 2.1798 ms
[18:44:56 INF] HTTP GET /api/v1/notifications/my responded 200 in 12.8646 ms
[18:44:56 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.1973 ms
[18:44:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 24.4820 ms
[18:44:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 2.0715 ms
[18:44:58 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.1468 ms
[18:44:58 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.1918 ms
[18:44:58 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.2840 ms
[18:44:58 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.2846 ms
[18:45:07 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.3666 ms
[18:45:07 INF] HTTP GET /api/v1/notifications/my responded 401 in 0.2878 ms
[18:45:07 INF] HTTP GET /api/v1/dashboard/summary responded 401 in 0.1708 ms
[18:45:07 INF] HTTP GET /api/v1/notifications/my responded 401 in 0.2735 ms
[18:45:07 INF] HTTP GET /api/v1/dashboard/summary responded 401 in 0.2028 ms
[18:48:04 INF] HTTP POST /api/v1/auth/login responded 200 in 167.2959 ms
[18:48:04 INF] HTTP GET /api/v1/notifications/my responded 200 in 4.2206 ms
[18:48:04 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.4094 ms
[18:48:04 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 9.5951 ms
[18:48:04 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 3.6934 ms
[18:48:08 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.4737 ms
[18:48:12 INF] HTTP POST /api/v1/auth/login responded 200 in 168.5591 ms
[18:48:12 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.5159 ms
[18:48:12 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 3.7714 ms
[18:48:12 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.3850 ms
[18:48:12 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4467 ms
[18:48:12 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.2080 ms
[18:48:15 INF] HTTP POST /api/v1/auth/login responded 200 in 137.8173 ms
[18:48:15 INF] HTTP GET /api/v1/notifications/my responded 200 in 0.9862 ms
[18:48:15 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.1102 ms
[18:48:15 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.2111 ms
[18:48:15 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.1018 ms
[18:48:19 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.5035 ms
[18:49:21 INF] HTTP POST /api/v1/auth/login responded 200 in 140.9530 ms
[18:49:21 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.3670 ms
[18:49:21 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 4.5385 ms
[18:49:21 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.0060 ms
[18:49:21 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 0.8247 ms
[18:49:25 INF] HTTP POST /api/v1/auth/logout responded 204 in 14.9691 ms
[18:49:28 INF] HTTP POST /api/v1/auth/login responded 200 in 136.2950 ms
[18:49:28 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.4488 ms
[18:49:28 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.8775 ms
[18:49:28 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.1712 ms
[18:49:28 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4579 ms
[18:49:32 INF] HTTP POST /api/v1/auth/logout responded 204 in 2.0535 ms
[18:49:36 INF] HTTP POST /api/v1/auth/login responded 200 in 133.3146 ms
[18:49:36 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.2449 ms
[18:49:36 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5156 ms
[18:49:36 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.0941 ms
[18:49:36 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.0304 ms
[18:49:40 INF] HTTP POST /api/v1/auth/logout responded 204 in 4.6355 ms
[18:50:32 INF] HTTP GET /health responded 200 in 0.2808 ms
[18:50:55 INF] HTTP POST /api/v1/auth/login responded 200 in 251.0547 ms
[18:50:56 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.6008 ms
[18:50:56 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.9508 ms
[18:50:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 9.8312 ms
[18:50:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.7083 ms
[18:51:04 INF] HTTP POST /api/v1/auth/logout responded 204 in 15.0082 ms
[18:51:15 INF] HTTP POST /api/v1/auth/login responded 200 in 183.8151 ms
[18:51:15 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.1522 ms
[18:51:15 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.1784 ms
[18:51:15 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4574 ms
[18:51:15 INF] HTTP GET /api/v1/notifications/my responded 200 in 0.9457 ms
[18:51:31 INF] HTTP POST /api/v1/auth/logout responded 204 in 22.2473 ms
[18:51:35 INF] HTTP POST /api/v1/auth/login responded 200 in 212.7243 ms
[18:51:35 INF] HTTP GET /api/v1/notifications/my responded 200 in 2.7051 ms
[18:51:35 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 7.6964 ms
[18:51:35 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.0845 ms
[18:51:35 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.2373 ms
[18:51:50 INF] HTTP GET /api/v1/patients responded 200 in 13.2044 ms
[18:51:50 INF] HTTP GET /api/v1/patients responded 200 in 1.8588 ms
[18:51:51 INF] HTTP GET /api/v1/patients responded 200 in 2.9023 ms
[18:51:51 INF] HTTP GET /api/v1/patients responded 200 in 1.4143 ms
[18:51:55 INF] HTTP GET /api/v1/notifications/my responded 200 in 1.7960 ms
[18:51:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.1124 ms
[18:51:56 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5003 ms
