Using launch settings from C:\HMS\backend\src\HMS.API\Properties\launchSettings.json...
Building...
[12:06:50 WRN] Failed to determine the https port for redirect.
[12:25:00 INF] HTTP GET /api/v1/doctors responded 200 in 1.3875 ms
[12:25:00 INF] HTTP GET /api/v1/doctors responded 200 in 1.0576 ms
[12:25:00 INF] HTTP GET /api/v1/departments responded 200 in 1.3436 ms
[12:25:30 INF] HTTP POST /api/v1/auth/create-user responded 201 in 248.1161 ms
[12:25:30 INF] HTTP GET /api/v1/doctors responded 200 in 15.6008 ms
[12:25:52 INF] HTTP POST /api/v1/auth/logout responded 401 in 6.1470 ms
[12:25:58 INF] HTTP POST /api/v1/auth/login responded 200 in 243.7072 ms
[12:25:58 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 18.0023 ms
[12:25:58 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5636 ms
[12:26:05 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.8715 ms
[12:26:09 INF] HTTP POST /api/v1/auth/login responded 200 in 191.1378 ms
[12:26:09 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.4210 ms
[12:26:09 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5592 ms
[12:26:10 INF] HTTP GET /api/v1/doctors responded 200 in 2.6207 ms
[12:26:10 INF] HTTP GET /api/v1/departments responded 200 in 7.8551 ms
[12:26:10 INF] HTTP GET /api/v1/doctors responded 200 in 2.9441 ms
[12:26:10 INF] HTTP GET /api/v1/departments responded 200 in 15.6361 ms
[12:26:10 INF] HTTP GET /api/v1/patients responded 200 in 44.7955 ms
[12:26:10 INF] HTTP GET /api/v1/appointments responded 200 in 49.0296 ms
[12:26:10 INF] HTTP GET /api/v1/patients responded 200 in 1.8063 ms
[12:26:10 INF] HTTP GET /api/v1/appointments responded 200 in 1.6318 ms
[12:26:11 INF] HTTP GET /api/v1/appointments responded 200 in 6.0134 ms
[12:26:11 INF] HTTP GET /api/v1/departments responded 200 in 2.8346 ms
[12:26:11 INF] HTTP GET /api/v1/doctors responded 200 in 2.9340 ms
[12:26:11 INF] HTTP GET /api/v1/patients responded 200 in 6.2025 ms
[12:26:11 INF] HTTP GET /api/v1/appointments responded 200 in 1.9053 ms
[12:26:11 INF] HTTP GET /api/v1/departments responded 200 in 1.5097 ms
[12:26:11 INF] HTTP GET /api/v1/doctors responded 200 in 2.4742 ms
[12:26:11 INF] HTTP GET /api/v1/patients responded 200 in 3.6365 ms
[12:26:24 INF] HTTP GET /api/v1/appointments/doctor/5/slots responded 200 in 16.2339 ms
[12:26:57 INF] HTTP POST /api/v1/appointments responded 201 in 103.3665 ms
[12:26:57 INF] HTTP GET /api/v1/appointments responded 200 in 15.6416 ms
[12:27:02 INF] HTTP POST /api/v1/auth/logout responded 401 in 0.7566 ms
[12:27:10 INF] HTTP POST /api/v1/auth/login responded 200 in 215.8259 ms
[12:27:10 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 5.2636 ms
[12:27:10 INF] HTTP GET /api/v1/dashboard/summary responded 200 in 1.5247 ms
[12:27:14 INF] HTTP GET /api/v1/appointments responded 200 in 3.4638 ms
[12:27:14 INF] HTTP GET /api/v1/departments responded 200 in 8.6169 ms
[12:27:14 INF] HTTP GET /api/v1/patients responded 200 in 7.9015 ms
[12:27:14 INF] HTTP GET /api/v1/appointments responded 200 in 2.8169 ms
[12:27:14 INF] HTTP GET /api/v1/departments responded 200 in 2.4319 ms
[12:27:14 INF] HTTP GET /api/v1/patients responded 200 in 2.6259 ms
[12:27:14 INF] HTTP GET /api/v1/doctors responded 200 in 25.6642 ms
[12:27:14 INF] HTTP GET /api/v1/doctors responded 200 in 1.5071 ms
[12:27:14 INF] HTTP GET /api/v1/departments responded 200 in 0.9838 ms
[12:27:14 INF] HTTP GET /api/v1/doctors responded 200 in 1.3556 ms
[12:27:14 INF] HTTP GET /api/v1/appointments responded 200 in 1.3763 ms
[12:27:14 INF] HTTP GET /api/v1/patients responded 200 in 1.7813 ms
[12:27:14 INF] HTTP GET /api/v1/departments responded 200 in 1.4803 ms
